,LeadID,ContaMediaAccount,Distance,SemDistCosine,SemDistHamming,SemDistCorrel,DistVIPHamming,WeightSem,Final,Final2,LeadLong,LeadLat,AgentLong,AgentLat,StoryLead,StoryAgent,VIPLeadStory,VIPAgentStory,MLDecision
6326,10159,107,84.24644800726446,0.9773478375657946,0.6555555555555557,0.9782333576814881,0.10000000000000009,0.7,206.5065815410032,0.5170943464915875,-6.785097108,42.02675267,-7.795507059,41.92770916,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[8.0, 53.0, 10.0, 6.0, 18.0, 3.0, 5.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['0' '2' '0' '0'],0
6349,10159,130,90.94796217524885,0.9204598364234886,0.10000000000000009,0.22829790284417867,0.10000000000000009,0,0.0,0.020225034927652194,-6.785097108,42.02675267,-7.624810202,42.55889126,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[5.0, 42.0, 2.0, 1.0, 20.0, 5.0, 10.0, 30.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['7' '2' '0' '1'],0
6350,10159,131,136.1141472576849,0.9721408719838882,0.3222222222222223,0.23702708283399404,0.10000000000000009,0,0.0,0.019075792322792655,-6.785097108,42.02675267,-8.226109014,42.62970066,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[2.0, 51.0, 2.0, 1.0, 13.0, 4.0, 11.0, 50.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['6' '1' '1' '0'],0
6351,10159,132,64.99205899731287,0.910645861212047,0.21111111111111125,0.22285659708588468,0.10000000000000009,0,0.0,0.02085684398471368,-6.785097108,42.02675267,-7.559886354,41.92742349,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[5.0, 24.0, 2.0, 1.0, 13.0, 3.0, 10.0, 20.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['1' '0' '1' '0'],0
6318,10158,139,86.83384228703699,0.9978117466601094,0.5444444444444445,2.5619886651410573,0.10000000000000009,0.7,254.3553647284817,0.635951365353206,-6.913893135,42.13832104,-6.411657209,41.45302024,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 11.0, 10.0, 6.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['0' '2' '0' '1'],0
6301,10158,122,92.77361242633839,0.9967150300395567,0.5444444444444445,1.9887123544393812,0.10000000000000009,0.7,218.75557762733828,0.5573640421884705,-6.913893135,42.13832104,-6.803534196,42.96868436,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 9.0, 6.0, 7.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['0' '0' '1' '0'],0
6291,10158,112,97.53299127952523,0.9675086775607864,0.5444444444444445,0.7520990837551628,0.10000000000000009,0.6333333333333333,136.44726524963656,0.35908878585765036,-6.913893135,42.13832104,-7.095569613,41.27173559,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[10.0, 23.0, 10.0, 6.0, 13.0, 8.0, 6.0, 20.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['3' '2' '0' '1'],0
6292,10158,113,144.6852936103667,0.9611496593112092,0.5444444444444445,0.3964773587399229,0.10000000000000009,0.6,99.57300060176227,0.2990886880069146,-6.913893135,42.13832104,-6.336466908,40.91103743,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[10.0, 46.0, 10.0, 1.0, 2.0, 3.0, -1.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['6' '0' '0' '1'],0
6293,10158,114,79.09378680260046,0.9665625119039075,0.3222222222222223,0.5982343568693692,0.10000000000000009,0.5750000000000001,67.0484416090954,0.17981144175814176,-6.913893135,42.13832104,-7.849340089,41.98459123,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 7.0, 10.0, 20.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['8' '1' '0' '1'],0
6299,10158,120,243.54940791030725,0.964390401094205,0.3222222222222223,0.5874215642025413,0.10000000000000009,0.5750000000000001,40.620929407484105,0.17441078224997694,-6.913893135,42.13832104,-7.937633742,40.08827301,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 12.0, 8.0, 20.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['4' '0' '0' '1'],0
6252,10157,113,127.57539061295763,0.9933438620959384,0.6555555555555557,0.47345994002840763,0.10000000000000009,0.75,163.30738524244583,0.45779614174233635,-7.241618181,41.83569674,-6.336466908,40.91103743,"[8.0, 46.0, 10.0, 1.0, 8.0, 7.0, 2.0, 50.0, 1.0]","[10.0, 46.0, 10.0, 1.0, 2.0, 3.0, -1.0, 50.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['6' '0' '0' '1'],0
6246,10157,107,46.98247223859636,0.9855168103893039,0.5444444444444445,0.5002051846220191,0.10000000000000009,0.7666666666666667,162.07706040615267,0.37905637057853414,-7.241618181,41.83569674,-7.795507059,41.92770916,"[8.0, 46.0, 10.0, 1.0, 8.0, 7.0, 2.0, 50.0, 1.0]","[8.0, 53.0, 10.0, 6.0, 18.0, 3.0, 5.0, 50.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['0' '2' '0' '0'],0
6278,10157,139,81.03523854123183,0.9748836035221905,0.5444444444444445,0.828283190917368,0.10000000000000009,0.6666666666666666,152.1242724675912,0.3835642550339727,-7.241618181,41.83569674,-6.411657209,41.45302024,"[8.0, 46.0, 10.0, 1.0, 8.0, 7.0, 2.0, 50.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 11.0, 10.0, 6.0, 30.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['0' '2' '0' '1'],0
6261,10157,122,131.01656354856485,0.9803402649703443,0.5444444444444445,0.939625861166716,0.10000000000000009,0.6666666666666666,139.63423427424817,0.39763848740317836,-7.241618181,41.83569674,-6.803534196,42.96868436,"[8.0, 46.0, 10.0, 1.0, 8.0, 7.0, 2.0, 50.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 9.0, 6.0, 7.0, 30.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['0' '0' '1' '0'],0
6240,10157,101,108.90091776206913,0.9887977822482783,0.43333333333333346,0.4126060987110972,0.10000000000000009,0.65,89.70727828999355,0.249148479840808,-7.241618181,41.83569674,-8.508512416,41.58138476,"[8.0, 46.0, 10.0, 1.0, 8.0, 7.0, 2.0, 50.0, 1.0]","[10.0, 50.0, 10.0, 6.0, 2.0, 3.0, 7.0, 50.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['8' '2' '0' '0'],0
6236,10156,137,37.73227056300108,0.9822889443660036,0.6555555555555557,1.1224228571039796,0.10000000000000009,0.8333333333333334,273.83087820858356,0.6138646652536524,-7.282105282,41.94419796,-7.698188046,42.08412693,"[2.0, 33.0, 10.0, 1.0, 9.0, 10.0, 11.0, 30.0, 0.0]","[2.0, 38.0, 10.0, 1.0, 8.0, 3.0, 7.0, 30.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['1' '2' '1' '1'],0
6204,10156,105,115.53484216155391,0.9729739171740798,0.6555555555555557,1.1596401325915329,0.10000000000000009,0.8,222.984754487956,0.5995946816244271,-7.282105282,41.94419796,-8.233199449,42.70916776,"[2.0, 33.0, 10.0, 1.0, 9.0, 10.0, 11.0, 30.0, 0.0]","[2.0, 39.0, 10.0, 1.0, 20.0, 7.0, 7.0, 30.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['4' '2' '0' '0'],0
6214,10156,115,79.44664684996619,0.9798567704848705,0.5444444444444445,0.8048273784036665,0.10000000000000009,0.7333333333333333,162.89106027046313,0.40783295098775607,-7.282105282,41.94419796,-8.216371286,42.11415529,"[2.0, 33.0, 10.0, 1.0, 9.0, 10.0, 11.0, 30.0, 0.0]","[2.0, 25.0, 10.0, 1.0, 11.0, 4.0, 5.0, 20.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['5' '0' '0' '0'],0
6226,10156,127,100.73217597286353,0.9675401906829457,0.5444444444444445,0.4765686873638099,0.10000000000000009,0.7666666666666667,140.8129290998057,0.37265956563809344,-7.282105282,41.94419796,-7.047363952,42.83335972,"[2.0, 33.0, 10.0, 1.0, 9.0, 10.0, 11.0, 30.0, 0.0]","[2.0, 40.0, 10.0, 6.0, 2.0, 4.0, 7.0, 30.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['9' '0' '1' '1'],0
6218,10156,119,173.7345540621943,0.9577804216322412,0.5444444444444445,0.5508491357429084,0.10000000000000009,0.6,97.71175095416453,0.3175482604177948,-7.282105282,41.94419796,-6.881616327,40.4111132,"[2.0, 33.0, 10.0, 1.0, 9.0, 10.0, 11.0, 30.0, 0.0]","[2.0, 21.0, 10.0, 1.0, 8.0, 5.0, -1.0, 20.0, 0.0]",['3.0' '3.0' '3.0' '3.0'],['1' '1' '0' '1'],0
6171,10155,112,226.41541159702018,0.9800340043159956,0.5444444444444445,0.630850771422701,0.10000000000000009,0.7,95.78378200719635,0.366647036307278,-8.317562402,39.46079927,-7.095569613,41.27173559,"[10.0, 32.0, 10.0, 1.0, 20.0, 8.0, 11.0, 30.0, 1.0]","[10.0, 23.0, 10.0, 6.0, 13.0, 8.0, 6.0, 20.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['3' '2' '0' '1'],0
6198,10155,139,273.9831677600528,0.975755122630495,0.5444444444444445,1.154086764062862,0.10000000000000009,0.65,90.25144959581458,0.41434681312164656,-8.317562402,39.46079927,-6.411657209,41.45302024,"[10.0, 32.0, 10.0, 1.0, 20.0, 8.0, 11.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 11.0, 10.0, 6.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['0' '2' '0' '1'],0
6179,10155,120,76.95661958211895,0.9738734092162207,0.3222222222222223,0.5948278987070738,0.10000000000000009,0.625,71.9216947560302,0.19057823030781873,-8.317562402,39.46079927,-7.937633742,40.08827301,"[10.0, 32.0, 10.0, 1.0, 20.0, 8.0, 11.0, 30.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 12.0, 8.0, 20.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['4' '0' '0' '1'],0
6172,10155,113,233.0666431843756,0.8916014042405479,0.5444444444444445,0.369929954754721,0.10000000000000009,0.5333333333333333,66.08267866374204,0.26390055599108125,-8.317562402,39.46079927,-6.336466908,40.91103743,"[10.0, 32.0, 10.0, 1.0, 20.0, 8.0, 11.0, 30.0, 1.0]","[10.0, 46.0, 10.0, 1.0, 2.0, 3.0, -1.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['6' '0' '0' '1'],0
6173,10155,114,283.3918185883895,0.982637047803435,0.3222222222222223,0.6956282130824211,0.10000000000000009,0.625,38.59092063789679,0.19287764715448338,-8.317562402,39.46079927,-7.849340089,41.98459123,"[10.0, 32.0, 10.0, 1.0, 20.0, 8.0, 11.0, 30.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 7.0, 10.0, 20.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['8' '1' '0' '1'],0
6181,10155,122,410.0821181301736,0.9698608021910796,0.5444444444444445,1.0925089008398063,0.10000000000000009,0.65,35.12972135171022,0.40016921302889513,-8.317562402,39.46079927,-6.803534196,42.96868436,"[10.0, 32.0, 10.0, 1.0, 20.0, 8.0, 11.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 9.0, 6.0, 7.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['0' '0' '1' '0'],0
6133,10154,114,64.37001726358297,0.9852090730352989,0.6555555555555557,0.818020836886198,0.10000000000000009,1.0,271.0478581486045,0.6430691864754821,-7.430896163,41.49711433,-7.849340089,41.98459123,"[8.0, 27.0, 10.0, 1.0, 9.0, 4.0, 9.0, 20.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 7.0, 10.0, 20.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['8' '1' '0' '1'],0
6139,10154,120,162.35941196477825,0.9692944666636444,0.6555555555555557,0.6868474228005009,0.10000000000000009,1.0,200.66433119368517,0.6126884148111913,-7.430896163,41.49711433,-7.937633742,40.08827301,"[8.0, 27.0, 10.0, 1.0, 9.0, 4.0, 9.0, 20.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 12.0, 8.0, 20.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['4' '0' '0' '1'],0
6141,10154,122,171.5880856101971,0.9877180448685123,0.6555555555555557,1.4950875694147798,0.10000000000000009,0.7,191.42693352605352,0.6010088281548647,-7.430896163,41.49711433,-6.803534196,42.96868436,"[8.0, 27.0, 10.0, 1.0, 9.0, 4.0, 9.0, 20.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 9.0, 6.0, 7.0, 30.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['0' '0' '1' '0'],0
6158,10154,139,85.05590629676767,0.9831349857623705,0.5444444444444445,0.9324630345011324,0.10000000000000009,0.7,162.49452065254002,0.41197599316199957,-7.430896163,41.49711433,-6.411657209,41.45302024,"[8.0, 27.0, 10.0, 1.0, 9.0, 4.0, 9.0, 20.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 11.0, 10.0, 6.0, 30.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['0' '2' '0' '1'],0
6131,10154,112,37.55919972121605,0.9705092740430386,0.43333333333333346,0.6166945350897411,0.10000000000000009,0.65,115.37193209868109,0.2709891968162136,-7.430896163,41.49711433,-7.095569613,41.27173559,"[8.0, 27.0, 10.0, 1.0, 9.0, 4.0, 9.0, 20.0, 1.0]","[10.0, 23.0, 10.0, 6.0, 13.0, 8.0, 6.0, 20.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['3' '2' '0' '1'],0
6107,10153,128,129.14043717415475,0.9984805432088425,0.5444444444444445,1.3893438985908149,0.10000000000000009,0.63,156.8706722087868,0.44224983304194204,-7.439546476,42.87051666,-8.011604404,41.78885768,"[10.0, 52.0, 2.0, 1.0, 18.0, 7.0, 6.0, 50.0, 1.0]","[10.0, 55.0, 5.0, 1.0, 20.0, 8.0, 8.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['4' '0' '0' '0'],0
6105,10153,126,168.42319506063987,0.983319885408829,0.5444444444444445,1.3569822995825318,0.10000000000000009,0.6,133.83417447598728,0.4218387339045885,-7.439546476,42.87051666,-6.875651556,41.41469164,"[10.0, 52.0, 2.0, 1.0, 18.0, 7.0, 6.0, 50.0, 1.0]","[10.0, 40.0, 2.0, 1.0, 17.0, 6.0, 10.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['2' '0' '1' '0'],0
6085,10153,106,131.46202761263444,0.9944590359524631,0.43333333333333346,0.5635148594817032,0.10000000000000009,0.7,95.92798017955693,0.2794906840138863,-7.439546476,42.87051666,-8.264957351,41.85767914,"[10.0, 52.0, 2.0, 1.0, 18.0, 7.0, 6.0, 50.0, 1.0]","[8.0, 50.0, 2.0, 6.0, 17.0, 3.0, 2.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['9' '0' '0' '1'],0
6114,10153,135,108.34595165611695,0.9792004153140518,0.43333333333333346,0.6369481241138917,0.10000000000000009,0.5499999999999999,87.08929675847946,0.24215306650595542,-7.439546476,42.87051666,-6.212813029,42.50134548,"[10.0, 52.0, 2.0, 1.0, 18.0, 7.0, 6.0, 50.0, 1.0]","[8.0, 44.0, 2.0, 6.0, 9.0, 6.0, 6.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['5' '0' '1' '1'],0
6053,10152,114,79.05607386220184,0.9131857445718197,0.6555555555555557,0.40998809082212373,0.10000000000000009,0.7,166.76331915646878,0.4166820811518368,-7.351867712,41.37842314,-7.849340089,41.98459123,"[8.0, 18.0, 10.0, 1.0, 1.0, 7.0, 2.0, 20.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 7.0, 10.0, 20.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['8' '1' '0' '1'],0
6059,10152,120,151.7098870615627,0.9216862403239264,0.5444444444444445,0.3794221942014019,0.10000000000000009,0.7,108.12044832070802,0.32909468157547817,-7.351867712,41.37842314,-7.937633742,40.08827301,"[8.0, 18.0, 10.0, 1.0, 1.0, 7.0, 2.0, 20.0, 1.0]","[8.0, 27.0, 10.0, 6.0, 13.0, 12.0, 8.0, 20.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['4' '0' '0' '1'],0
6051,10152,112,24.470014978658096,0.9296410939890417,0.43333333333333346,0.4215571567365176,0.10000000000000009,0.625,104.24349850282357,0.24102205553716108,-7.351867712,41.37842314,-7.095569613,41.27173559,"[8.0, 18.0, 10.0, 1.0, 1.0, 7.0, 2.0, 20.0, 1.0]","[10.0, 23.0, 10.0, 6.0, 13.0, 8.0, 6.0, 20.0, 1.0]",['1.0' '1.0' '1.0' '1.0'],['3' '2' '0' '1'],0
6034,10151,135,165.00555938090278,0.9918867084389293,0.6555555555555557,1.4696432774953714,0.10000000000000009,0.8666666666666667,226.1015467218179,0.6932440443224563,-8.168294084,42.87002666,-6.212813029,42.50134548,"[8.0, 40.0, 2.0, 6.0, 13.0, 10.0, 4.0, 30.0, 1.0]","[8.0, 44.0, 2.0, 6.0, 9.0, 6.0, 6.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['5' '0' '1' '1'],0
6005,10151,106,112.84768902822512,0.9774847972667635,0.5444444444444445,0.7314008514256066,0.10000000000000009,0.6666666666666666,135.66070775886516,0.3700827419378859,-8.168294084,42.87002666,-8.264957351,41.85767914,"[8.0, 40.0, 2.0, 6.0, 13.0, 10.0, 4.0, 30.0, 1.0]","[8.0, 50.0, 2.0, 6.0, 17.0, 3.0, 2.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['9' '0' '0' '1'],0
6025,10151,126,193.76250344584116,0.9838966481977104,0.5444444444444445,0.6103882262893241,0.10000000000000009,0.75,112.36991477759989,0.38443679461269364,-8.168294084,42.87002666,-6.875651556,41.41469164,"[8.0, 40.0, 2.0, 6.0, 13.0, 10.0, 4.0, 30.0, 1.0]","[10.0, 40.0, 2.0, 1.0, 17.0, 6.0, 10.0, 30.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['2' '0' '1' '0'],0
5983,10150,124,147.89398503310883,0.9561664190193165,0.6555555555555557,0.6718646785494499,0.10000000000000009,0.9,190.39409957249984,0.5594939601674138,-7.289523345,41.45614784,-6.655188721,42.70008095,"[5.0, 24.0, 10.0, 6.0, 10.0, 3.0, 10.0, 20.0, 0.0]","[5.0, 27.0, 10.0, 6.0, 2.0, 6.0, 4.0, 20.0, 0.0]",['1.0' '1.0' '1.0' '1.0'],['7' '0' '1' '0'],0
5969,10150,110,139.23605168683324,0.9467400009472317,0.5444444444444445,0.435043815127095,0.10000000000000009,0.5,89.33137347694068,0.26661102794073205,-7.289523345,41.45614784,-7.477429664,42.7005374,"[5.0, 24.0, 10.0, 6.0, 10.0, 3.0, 10.0, 20.0, 0.0]","[5.0, 24.0, 5.0, 1.0, 2.0, 5.0, 5.0, 20.0, 0.0]",['1.0' '1.0' '1.0' '1.0'],['6' '0' '1' '0'],0
5935,10149,116,30.181108928059505,0.9911673932367958,0.7666666666666668,0.9997542082414128,0.10000000000000009,0.8666666666666667,334.70573422658765,0.7340896865125429,-7.35106443,41.78350891,-7.182759536,42.02430087,"[2.0, 50.0, 10.0, 6.0, 10.0, 7.0, 6.0, 50.0, 0.0]","[2.0, 54.0, 10.0, 6.0, 2.0, 7.0, 11.0, 50.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['4' '1' '0' '1'],0
5937,10149,118,88.80465268448289,0.9836946920025197,0.5444444444444445,0.3923279341536681,0.10000000000000009,0.7666666666666667,140.69891560158467,0.36244844741425397,-7.35106443,41.78350891,-7.784839061,42.51453735,"[2.0, 50.0, 10.0, 6.0, 10.0, 7.0, 6.0, 50.0, 0.0]","[2.0, 57.0, 10.0, 1.0, 1.0, 1.0, 9.0, 50.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['6' '2' '0' '0'],0
5946,10149,127,119.3793007643407,0.9820747005704425,0.5444444444444445,0.725464012306395,0.10000000000000009,0.6666666666666666,133.22595656736496,0.36953239128791415,-7.35106443,41.78350891,-7.047363952,42.83335972,"[2.0, 50.0, 10.0, 6.0, 10.0, 7.0, 6.0, 50.0, 0.0]","[2.0, 40.0, 10.0, 6.0, 2.0, 4.0, 7.0, 30.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['9' '0' '1' '1'],0
5924,10149,105,125.96135766774054,0.9596719898703358,0.5444444444444445,0.6670501626279662,0.10000000000000009,0.6333333333333333,122.42025955812905,0.3466331593760712,-7.35106443,41.78350891,-8.233199449,42.70916776,"[2.0, 50.0, 10.0, 6.0, 10.0, 7.0, 6.0, 50.0, 0.0]","[2.0, 39.0, 10.0, 1.0, 20.0, 7.0, 7.0, 30.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['4' '2' '0' '0'],0
5956,10149,137,44.06658645336664,0.9872765639859925,0.43333333333333346,0.5918267989869377,0.10000000000000009,0.6,106.36188937155798,0.2546364195285714,-7.35106443,41.78350891,-7.698188046,42.08412693,"[2.0, 50.0, 10.0, 6.0, 10.0, 7.0, 6.0, 50.0, 0.0]","[2.0, 38.0, 10.0, 1.0, 8.0, 3.0, 7.0, 30.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['1' '2' '1' '1'],0
5878,10147,139,61.2980904151273,0.9817205335879976,0.6555555555555557,0.9645661732431587,0.10000000000000009,0.65,205.75274958767898,0.4899487543433618,-6.370844807,40.90260977,-6.411657209,41.45302024,"[10.0, 32.0, 10.0, 1.0, 10.0, 1.0, 6.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 11.0, 10.0, 6.0, 30.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['0' '2' '0' '1'],0
5851,10147,112,73.3059636892136,0.9528007002366952,0.5444444444444445,0.5032371640661449,0.10000000000000009,0.7,140.88866951531946,0.3508432121777417,-6.370844807,40.90260977,-7.095569613,41.27173559,"[10.0, 32.0, 10.0, 1.0, 10.0, 1.0, 6.0, 30.0, 1.0]","[10.0, 23.0, 10.0, 6.0, 13.0, 8.0, 6.0, 20.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['3' '2' '0' '1'],0
