TYPE,userID,latitude,longitude,age,gender,famstatus,lang,profession,hobby,sport,travel_distance,age_group,lang_group,vehicle_life_group,vehiclekind,vehicletype,target_id,,
lead_type,10042,42.41342687,-7.468550792,28,F,single,english,retailer,garden,football,low,young,nonport,Mid,JaguarPace,eletric,102,,
lead_type,10043,42.79913661,-7.105994193,34,M,single,portoguese,bankmanager,garden,motorsport,medium,midage,port_spain_group,VIP,BMWi3,eletric,135,,
lead_type,10044,42.55394717,-6.87239397,43,M,married,spanish,itprofessional,investing,Watersports,medium,midage,port_spain_group,Family,MitsubishiOutlander,eletric,125,,
lead_type,10045,41.56371467,-7.563836094,29,M,married,english,bankmanager,garden,none,low,young,nonport,Family,NISSAN,eletric,LEAF,,
lead_type,10046,41.53440824,-7.071267664,55,F,married,french,hotelmanager,garden,none,high,senior,nonport,Mid,MitsubishiOutlander,eletric,128,,
lead_type,10047,39.06579113,-8.477056302,27,M,married,french,agriculturemanager,carsocial,Martial,arts,low,young,nonport,VIP,eletric,Mercedes-BenzE300,,
lead_type,10048,41.70495975,-7.371198359,19,M,single,spanish,hotelmanager,carsocial,cycling,low,young,port_spain_group,Mid,Mercedes-BenzE300,eletric,140,,
lead_type,10049,42.87445275,-7.73327165,28,F,single,french,agriculturemanager,carsocial,Canoeing,low,young,nonport,Family,Mercedes-BenzE300,eletric,130,,
lead_type,10050,41.8816939,-6.868514255,25,M,single,portoguese,retailer,cinema,basketball,low,young,port_spain_group,Mid,BMW530,eletric,122,,
lead_type,10051,41.79362024,-6.862490949,44,M,married,portoguese,hotelmanager,carsocial,Martial,arts,medium,midage,port_spain_group,VIP,eletric,Hyunday,,
lead_type,10052,41.87607842,-7.250705209,28,F,married,spanish,biker,cinema,Canoeing,low,young,port_spain_group,VIP,Mercedes-BenzE300,eletric,136,,
lead_type,10053,41.37659153,-6.237641797,26,M,single,spanish,hotelmanager,garden,tennis,low,young,port_spain_group,Family,Mercedes-BenzE300,eletric,109,,
lead_type,10054,42.63293889,-7.755535774,31,M,married,portoguese,agriculturemanager,investing,football,medium,midage,port_spain_group,VIP,Hyunday,eletric,122,,
lead_type,10055,42.04265345,-8.316147862,22,F,married,spanish,biker,fitness,football,low,young,port_spain_group,Mid,BMW530,eletric,121,,
lead_type,10056,41.17448375,-7.795388629,49,M,single,spanish,tourismmanager,carsocial,motorsport,high,senior,port_spain_group,Mid,Mercedes-BenzE300,eletric,136,,
lead_type,10057,42.86883122,-7.321750033,31,M,married,english,biker,cycling,Canoeing,medium,midage,nonport,Mid,TeslaModel3,eletric,105,,
lead_type,10058,42.00618249,-7.845944208,32,M,married,spanish,architect,garden,Martial,arts,medium,midage,port_spain_group,VIP,eletric,NISSAN,,117
lead_type,10059,42.96013789,-7.565462442,18,F,single,spanish,biker,investing,Martial,arts,low,young,port_spain_group,Family,eletric,JaguarPace,,
lead_type,10060,42.20120257,-8.430422106,41,M,married,english,retailer,investing,basketball,medium,midage,nonport,VIP,RenaultZOE,eletric,117,,
lead_type,10061,41.91883702,-8.350314053,27,M,married,spanish,biker,carsocial,tennis,low,young,port_spain_group,Mid,Mercedes-BenzE300,eletric,131,,
lead_type,10062,43.18606421,-6.926607001,55,M,single,spanish,propertymanager,fitness,none,high,senior,port_spain_group,Mid,BMW330e,eletric,110,,
lead_type,10063,42.55472639,-7.299190036,28,M,single,english,propertymanager,meetupsocial,football,low,young,nonport,Mid,JaguarPace,eletric,109,,
lead_type,10064,41.53279068,-7.906805506,43,M,married,spanish,bankmanager,meetupsocial,cycling,medium,midage,port_spain_group,VIP,BMWi3,eletric,140,,
lead_type,10065,39.59853191,-7.865269271,20,M,single,english,biker,fitness,football,low,young,nonport,Mid,BMW330e,eletric,119,,
lead_type,10066,41.93290438,-7.720189017,54,F,married,portoguese,taxidriver,garden,dancing,high,senior,port_spain_group,Mid,Hyunday,eletric,117,,
lead_type,10067,41.05013059,-6.429476986,33,M,married,portoguese,propertymanager,cinema,football,medium,midage,port_spain_group,Mid,JaguarPace,eletric,109,,
lead_type,10068,40.66102789,-7.808539169,34,F,married,english,retailer,shopping,Watersports,medium,midage,nonport,Family,BMWi3,eletric,123,,
lead_type,10069,41.37069471,-7.252926738,37,M,married,spanish,agriculturemanager,investing,none,medium,midage,port_spain_group,VIP,BMWi3,eletric,134,,
lead_type,10070,41.49541953,-8.249234994,28,M,married,spanish,architect,diving,none,low,young,port_spain_group,Family,BMW330e,eletric,103,,
lead_type,10071,41.6897432,-6.869142913,21,M,single,portoguese,propertymanager,investing,cycling,low,young,port_spain_group,VIP,Mercedes-BenzE300,eletric,111,,
lead_type,10072,42.74058032,-8.265997919,29,M,single,english,hotelmanager,shopping,Canoeing,low,young,nonport,Family,MitsubishiOutlander,eletric,115,,
lead_type,10073,41.8002856,-7.769975231,41,M,single,english,propertymanager,fitness,tennis,medium,midage,nonport,Mid,Hyunday,eletric,125,,
lead_type,10074,39.07605934,-7.781364901,27,F,single,spanish,biker,meetupsocial,dancing,low,young,port_spain_group,Family,BMWi3,eletric,124,,
lead_type,10075,41.94248326,-6.473261638,37,M,single,portoguese,bankmanager,diving,none,medium,midage,port_spain_group,VIP,NISSAN,eletric,LEAF,,
lead_type,10076,42.06720233,-6.682696608,57,M,single,french,retailer,shopping,dancing,high,senior,nonport,VIP,BMW530,eletric,107,,
lead_type,10077,41.71269106,-7.313274702,41,M,married,portoguese,tourismmanager,swimming,Watersports,medium,midage,port_spain_group,Mid,Mercedes-BenzE300,eletric,123,,
lead_type,10078,42.16933968,-6.880298077,28,M,married,spanish,agriculturemanager,fitness,Canoeing,low,young,port_spain_group,VIP,TeslaModel3,eletric,106,,
lead_type,10079,42.16942988,-6.72114338,49,M,single,french,taxidriver,meetupsocial,cycling,high,senior,nonport,Mid,RenaultZOE,eletric,136,,
lead_type,10080,42.6725572,-7.42035791,31,M,married,french,agriculturemanager,swimming,basketball,medium,midage,nonport,Family,BMW330e,eletric,101,,
lead_type,10081,42.84892784,-7.426929638,52,M,married,portoguese,bankmanager,garden,motorsport,high,senior,port_spain_group,Mid,RenaultZOE,eletric,116,,
lead_type,10082,41.78177909,-7.31662435,18,M,single,english,hotelmanager,garden,football,low,young,nonport,Mid,RenaultZOE,eletric,125,,
lead_type,10083,41.48061291,-7.499910102,47,F,single,english,tourismmanager,shopping,dancing,high,senior,nonport,Mid,BMW530,eletric,121,,
lead_type,10084,42.00971936,-8.08601582,24,M,married,french,bankmanager,shopping,Watersports,low,young,nonport,Mid,BMWi3,eletric,109,,
lead_type,10085,42.24942133,-8.055759804,21,M,married,portoguese,retailer,shopping,Watersports,low,young,port_spain_group,Mid,RenaultZOE,eletric,138,,
lead_type,10086,42.96180514,-7.506463841,23,F,single,english,propertymanager,fitness,basketball,low,young,nonport,Mid,RenaultZOE,eletric,128,,
lead_type,10087,42.58063008,-8.154408263,18,M,single,portoguese,retailer,shopping,basketball,low,young,port_spain_group,VIP,MitsubishiOutlander,eletric,132,,
lead_type,10088,42.24991339,-7.969366769,22,M,single,english,hotelmanager,diving,dancing,low,young,nonport,Mid,BMW330e,eletric,126,,
lead_type,10089,42.91998398,-6.490680931,55,M,married,english,tourismmanager,meetupsocial,Watersports,high,senior,nonport,Mid,JaguarPace,eletric,121,,
lead_type,10090,43.16194211,-7.481961187,47,M,single,english,tourismmanager,cinema,Watersports,high,senior,nonport,Family,NISSAN,eletric,LEAF,,
lead_type,10091,41.64919391,-8.542823524,34,F,married,spanish,hotelmanager,investing,tennis,medium,midage,port_spain_group,VIP,TeslaModel3,eletric,122,,
lead_type,10092,39.72754881,-8.88259037,32,M,single,portoguese,itprofessional,meetupsocial,basketball,medium,midage,port_spain_group,Family,NISSAN,eletric,LEAF,,
lead_type,10093,41.85897779,-6.504266192,48,M,married,french,hotelmanager,meetupsocial,dancing,high,senior,nonport,VIP,RenaultZOE,eletric,140,,
lead_type,10094,41.73022609,-6.336019811,32,M,single,spanish,bankmanager,swimming,dancing,medium,midage,port_spain_group,VIP,TeslaModel3,eletric,137,,
lead_type,10095,41.97267202,-7.879448741,21,F,single,portoguese,bankmanager,fitness,Martial,arts,low,young,port_spain_group,Family,eletric,TeslaModel3,,
lead_type,10096,41.1981227,-7.767352579,29,M,married,portoguese,propertymanager,carsocial,Watersports,low,young,port_spain_group,Mid,BMW330e,eletric,112,,
lead_type,10097,42.27342955,-7.345027388,20,F,married,portoguese,propertymanager,carsocial,Canoeing,low,young,port_spain_group,VIP,JaguarPace,eletric,108,,
lead_type,10098,42.37485016,-7.28057622,26,M,married,french,bankmanager,fitness,none,low,young,nonport,Mid,BMW530,eletric,111,,
lead_type,10099,42.81176097,-7.623851372,35,F,married,portoguese,itprofessional,cycling,Martial,arts,medium,midage,port_spain_group,Family,eletric,JaguarPace,,
lead_type,10100,41.82927062,-6.886267557,46,M,single,french,tourismmanager,shopping,motorsport,high,senior,nonport,Mid,JaguarPace,eletric,111,,
lead_type,10101,39.49781855,-8.60606769,26,M,single,french,architect,shopping,football,low,young,nonport,Family,BMW530,eletric,137,,
lead_type,10102,41.22156438,-7.701093297,24,F,single,portoguese,bankmanager,shopping,Watersports,low,young,port_spain_group,Mid,JaguarPace,eletric,101,,
lead_type,10103,42.35202198,-6.775734681,46,M,single,french,hotelmanager,meetupsocial,basketball,high,senior,nonport,Family,JaguarPace,eletric,115,,
lead_type,10104,42.49301613,-8.186650428,34,M,married,french,tourismmanager,investing,motorsport,medium,midage,nonport,Mid,JaguarPace,eletric,114,,
lead_type,10105,42.38368415,-6.793175941,38,M,married,spanish,taxidriver,garden,motorsport,medium,midage,port_spain_group,VIP,RenaultZOE,eletric,115,,
lead_type,10106,42.41399254,-6.890808715,24,M,single,portoguese,itprofessional,cycling,none,low,young,port_spain_group,Family,TeslaModel3,eletric,136,,
lead_type,10107,41.32720774,-6.592603533,40,M,single,french,biker,carsocial,dancing,medium,midage,nonport,Family,TeslaModel3,eletric,104,,
lead_type,10108,43.03494971,-6.56832447,31,M,single,spanish,architect,garden,tennis,medium,midage,port_spain_group,Mid,BMW330e,eletric,111,,
lead_type,10109,41.73281194,-8.543975009,36,F,married,french,propertymanager,meetupsocial,none,medium,midage,nonport,Family,Mercedes-BenzE300,eletric,114,,
lead_type,10110,42.61896875,-7.25508303,53,M,single,english,biker,carsocial,basketball,high,senior,nonport,VIP,TeslaModel3,eletric,120,,
lead_type,10111,42.53890058,-7.30283428,18,M,single,french,itprofessional,cycling,dancing,low,young,nonport,Family,Mercedes-BenzE300,eletric,137,,
lead_type,10112,41.76405077,-7.561425548,54,F,single,french,hotelmanager,fitness,Canoeing,high,senior,nonport,VIP,TeslaModel3,eletric,107,,
lead_type,10113,41.66018643,-7.516770693,26,M,married,spanish,propertymanager,meetupsocial,football,low,young,port_spain_group,Mid,Hyunday,eletric,138,,
lead_type,10114,42.08544891,-8.447016111,40,F,single,spanish,agriculturemanager,cycling,tennis,medium,midage,port_spain_group,Mid,MitsubishiOutlander,eletric,107,,
lead_type,10115,42.39018663,-8.536989559,57,M,single,portoguese,biker,meetupsocial,Watersports,high,senior,port_spain_group,VIP,Mercedes-BenzE300,eletric,108,,
lead_type,10116,42.09237189,-6.909965485,28,M,single,english,tourismmanager,garden,Canoeing,low,young,nonport,VIP,JaguarPace,eletric,123,,
lead_type,10117,42.42042189,-6.202930241,37,F,single,french,tourismmanager,meetupsocial,motorsport,medium,midage,nonport,VIP,RenaultZOE,eletric,110,,
lead_type,10118,41.57045543,-8.279471144,45,M,single,english,retailer,carsocial,Canoeing,medium,midage,nonport,Mid,RenaultZOE,eletric,126,,
lead_type,10119,38.86729946,-8.515187137,35,F,single,english,biker,cinema,Martial,arts,medium,midage,nonport,VIP,eletric,Mercedes-BenzE300,,
lead_type,10120,40.60410399,-6.65942021,31,M,married,spanish,retailer,cycling,Watersports,medium,midage,port_spain_group,Family,BMW530,eletric,136,,
lead_type,10121,41.72690787,-6.332755463,55,M,married,spanish,architect,garden,cycling,high,senior,port_spain_group,Family,MitsubishiOutlander,eletric,116,,
lead_type,10122,41.84371437,-7.352325934,53,M,single,portoguese,itprofessional,fitness,basketball,high,senior,port_spain_group,VIP,TeslaModel3,eletric,126,,
lead_type,10123,41.71769167,-7.769371714,31,M,married,portoguese,propertymanager,garden,cycling,medium,midage,port_spain_group,VIP,TeslaModel3,eletric,101,,
lead_type,10124,41.9757788,-7.85275048,34,F,married,portoguese,tourismmanager,meetupsocial,cycling,medium,midage,port_spain_group,Family,MitsubishiOutlander,eletric,107,,
lead_type,10125,41.58249867,-6.858098541,18,M,single,english,retailer,carsocial,none,low,young,nonport,Family,BMW530,eletric,133,,
lead_type,10126,41.9186205,-7.694914951,36,M,married,english,retailer,carsocial,motorsport,medium,midage,nonport,Mid,BMW530,eletric,135,,
lead_type,10127,41.64448295,-6.649266209,29,M,married,french,architect,carsocial,dancing,low,young,nonport,Mid,BMW330e,eletric,108,,
lead_type,10128,40.3873943,-8.238919615,31,F,single,french,taxidriver,shopping,Canoeing,medium,midage,nonport,Family,BMWi3,eletric,139,,
lead_type,10129,42.49551362,-7.750028426,43,M,married,french,hotelmanager,fitness,Martial,arts,medium,midage,nonport,VIP,eletric,BMW330e,,
lead_type,10130,42.44461822,-6.720588977,23,F,single,french,agriculturemanager,cycling,Martial,arts,low,young,nonport,VIP,eletric,JaguarPace,,
lead_type,10131,41.76148164,-7.173831023,23,M,single,english,agriculturemanager,garden,Martial,arts,low,young,nonport,Mid,eletric,BMW330e,,
lead_type,10132,42.03500409,-6.68242091,33,M,single,french,taxidriver,swimming,Canoeing,medium,midage,nonport,VIP,BMW530,eletric,129,,
lead_type,10133,42.82879652,-6.180206679,36,M,single,english,propertymanager,fitness,dancing,medium,midage,nonport,Family,BMWi3,eletric,117,,
lead_type,10134,41.60310698,-6.072905587,21,F,single,french,architect,diving,Canoeing,low,young,nonport,VIP,Hyunday,eletric,106,,
lead_type,10135,42.28471293,-7.568554824,38,M,single,spanish,architect,garden,Watersports,medium,midage,port_spain_group,VIP,BMWi3,eletric,114,,
lead_type,10136,41.55470365,-8.755470747,19,M,single,spanish,agriculturemanager,swimming,football,low,young,port_spain_group,Family,Hyunday,eletric,136,,
lead_type,10137,42.6267968,-7.395494703,28,F,married,french,taxidriver,investing,tennis,low,young,nonport,Mid,BMW530,eletric,117,,
lead_type,10138,42.070618,-8.558810232,29,M,single,english,taxidriver,meetupsocial,none,low,young,nonport,Mid,Hyunday,eletric,104,,
lead_type,10139,42.10665411,-7.349648774,34,F,single,spanish,itprofessional,carsocial,Watersports,medium,midage,port_spain_group,Mid,NISSAN,eletric,LEAF,,
lead_type,10140,42.22849098,-8.38569049,46,M,married,french,taxidriver,shopping,none,high,senior,nonport,VIP,MitsubishiOutlander,eletric,107,,
lead_type,10141,42.48779346,-7.636680549,34,M,single,spanish,architect,carsocial,Martial,arts,medium,midage,port_spain_group,Mid,eletric,TeslaModel3,,
lead_type,10142,41.34411255,-8.416735983,41,F,single,spanish,retailer,garden,none,medium,midage,port_spain_group,Mid,Mercedes-BenzE300,eletric,106,,
lead_type,10143,42.06642607,-6.347292873,54,M,married,portoguese,architect,investing,dancing,high,senior,port_spain_group,Family,BMWi3,eletric,134,,
lead_type,10144,42.64083891,-6.194996214,23,F,single,english,retailer,carsocial,cycling,low,young,nonport,VIP,BMWi3,eletric,106,,
lead_type,10145,42.54031531,-8.264507382,51,M,single,spanish,hotelmanager,diving,Watersports,high,senior,port_spain_group,Family,JaguarPace,eletric,114,,
lead_type,10146,39.686789,-8.547766932,47,M,married,english,propertymanager,carsocial,motorsport,high,senior,nonport,VIP,BMWi3,eletric,123,,
lead_type,10147,40.90260977,-6.370844807,32,M,single,portoguese,propertymanager,cinema,tennis,medium,midage,port_spain_group,VIP,TeslaModel3,eletric,140,,
lead_type,10148,41.04080056,-6.382122241,48,F,single,portoguese,bankmanager,fitness,Martial,arts,high,senior,port_spain_group,Family,eletric,NISSAN,,126
lead_type,10149,41.78350891,-7.35106443,50,M,married,french,propertymanager,shopping,tennis,high,senior,nonport,VIP,JaguarPace,eletric,130,,
lead_type,10150,41.45614784,-7.289523345,24,M,married,english,propertymanager,swimming,cycling,low,young,nonport,Mid,MitsubishiOutlander,eletric,112,,
lead_type,10151,42.87002666,-8.168294084,40,F,married,spanish,bankmanager,cycling,basketball,medium,midage,port_spain_group,Family,NISSAN,eletric,LEAF,,
lead_type,10152,41.37842314,-7.351867712,18,M,single,spanish,agriculturemanager,shopping,Watersports,low,young,port_spain_group,Mid,RenaultZOE,eletric,138,,
lead_type,10153,42.87051666,-7.439546476,52,F,single,portoguese,biker,fitness,tennis,high,senior,port_spain_group,Family,MitsubishiOutlander,eletric,137,,
lead_type,10154,41.49711433,-7.430896163,27,M,single,spanish,architect,investing,Canoeing,low,young,port_spain_group,VIP,NISSAN,eletric,LEAF,,
lead_type,10155,39.46079927,-8.317562402,32,M,single,portoguese,taxidriver,meetupsocial,motorsport,medium,midage,port_spain_group,Family,MitsubishiOutlander,eletric,140,,
lead_type,10156,41.94419796,-7.282105282,33,M,single,french,architect,cycling,motorsport,medium,midage,nonport,Family,JaguarPace,eletric,109,,
lead_type,10157,41.83569674,-7.241618181,46,M,single,spanish,retailer,fitness,Watersports,high,senior,port_spain_group,Mid,Hyunday,eletric,105,,
lead_type,10158,42.13832104,-6.913893135,34,M,single,portoguese,propertymanager,meetupsocial,dancing,medium,midage,port_spain_group,Family,RenaultZOE,eletric,108,,
lead_type,10159,42.02675267,-6.785097108,51,M,married,portoguese,itprofessional,swimming,tennis,high,senior,port_spain_group,Family,Mercedes-BenzE300,eletric,109,,
lead_type,10160,42.97792178,-7.205653183,38,F,married,spanish,propertymanager,investing,Canoeing,medium,midage,port_spain_group,VIP,JaguarPace,eletric,111,,
lead_type,10119,38.86729946,-8.515187137,35,F,single,english,biker,cinema,Martial,arts,medium,midage,nonport,VIP,petrol,Mercedes-BenzE300,,
lead_type,10120,40.60410399,-6.65942021,31,M,married,spanish,retailer,cycling,Watersports,medium,midage,port_spain_group,Family,BMW530,petrol,136,,
lead_type,10121,41.72690787,-6.332755463,55,M,married,spanish,architect,garden,cycling,high,senior,port_spain_group,Family,MitsubishiOutlander,petrol,116,,
lead_type,10122,41.84371437,-7.352325934,53,M,single,portoguese,itprofessional,fitness,basketball,high,senior,port_spain_group,VIP,TeslaModel3,petrol,126,,
lead_type,10123,41.71769167,-7.769371714,31,M,married,portoguese,propertymanager,garden,cycling,medium,midage,port_spain_group,VIP,TeslaModel3,petrol,101,,
lead_type,10124,41.9757788,-7.85275048,34,F,married,portoguese,tourismmanager,meetupsocial,cycling,medium,midage,port_spain_group,Family,MitsubishiOutlander,petrol,107,,
lead_type,10125,41.58249867,-6.858098541,18,M,single,english,retailer,carsocial,none,low,young,nonport,Family,BMW530,petrol,133,,
lead_type,10126,41.9186205,-7.694914951,36,M,married,english,retailer,carsocial,motorsport,medium,midage,nonport,Mid,BMW530,petrol,135,,
lead_type,10127,41.64448295,-6.649266209,29,M,married,french,architect,carsocial,dancing,low,young,nonport,Mid,BMW330e,petrol,108,,
lead_type,10128,40.3873943,-8.238919615,31,F,single,french,taxidriver,shopping,Canoeing,medium,midage,nonport,Family,BMWi3,petrol,139,,
lead_type,10129,42.49551362,-7.750028426,43,M,married,french,hotelmanager,fitness,Martial,arts,medium,midage,nonport,VIP,petrol,BMW330e,,
lead_type,10130,42.44461822,-6.720588977,23,F,single,french,agriculturemanager,cycling,Martial,arts,low,young,nonport,VIP,petrol,JaguarPace,,
lead_type,10131,41.76148164,-7.173831023,23,M,single,english,agriculturemanager,garden,Martial,arts,low,young,nonport,Mid,petrol,BMW330e,,
lead_type,10132,42.03500409,-6.68242091,33,M,single,french,taxidriver,swimming,Canoeing,medium,midage,nonport,VIP,BMW530,petrol,129,,
lead_type,10133,42.82879652,-6.180206679,36,M,single,english,propertymanager,fitness,dancing,medium,midage,nonport,Family,BMWi3,petrol,117,,
lead_type,10134,41.60310698,-6.072905587,21,F,single,french,architect,diving,Canoeing,low,young,nonport,VIP,Hyunday,petrol,106,,
lead_type,10135,42.28471293,-7.568554824,38,M,single,spanish,architect,garden,Watersports,medium,midage,port_spain_group,VIP,BMWi3,petrol,114,,
lead_type,10136,41.55470365,-8.755470747,19,M,single,spanish,agriculturemanager,swimming,football,low,young,port_spain_group,Family,Hyunday,petrol,136,,
lead_type,10137,42.6267968,-7.395494703,28,F,married,french,taxidriver,investing,tennis,low,young,nonport,Mid,BMW530,petrol,117,,
lead_type,10138,42.070618,-8.558810232,29,M,single,english,taxidriver,meetupsocial,none,low,young,nonport,Mid,Hyunday,petrol,104,,
lead_type,10139,42.10665411,-7.349648774,34,F,single,spanish,itprofessional,carsocial,Watersports,medium,midage,port_spain_group,Mid,NISSAN,petrol,LEAF,,
lead_type,10140,42.22849098,-8.38569049,46,M,married,french,taxidriver,shopping,none,high,senior,nonport,VIP,MitsubishiOutlander,petrol,107,,
lead_type,10141,42.48779346,-7.636680549,34,M,single,spanish,architect,carsocial,Martial,arts,medium,midage,port_spain_group,Mid,petrol,TeslaModel3,,
lead_type,10142,41.34411255,-8.416735983,41,F,single,spanish,retailer,garden,none,medium,midage,port_spain_group,Mid,Mercedes-BenzE300,petrol,106,,
lead_type,10143,42.06642607,-6.347292873,54,M,married,portoguese,architect,investing,dancing,high,senior,port_spain_group,Family,BMWi3,petrol,134,,
lead_type,10144,42.64083891,-6.194996214,23,F,single,english,retailer,carsocial,cycling,low,young,nonport,VIP,BMWi3,petrol,106,,
